code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002052,同洲电子,通信设备,深圳,77.72,7.46,7.46,160751.77,122495.32,22167.89,87718.61,1.18,0.013999999999999999,0.82,5.43,20060627,-110397.55,-1.48,62.28,140.04,24.54,3.53,78550.0
300502,新易盛,通信设备,四川,42.51,1.61,2.38,141461.66,98269.61,31457.78,39339.0,1.65,0.136,4.91,4.71,20160303,52438.96,2.2,26.13,991.05,29.63,14.48,14057.0
002396,星网锐捷,通信设备,福建,0.0,5.49,5.83,609979.19,450883.0,56491.51,68566.65,1.18,-0.011000000000000001,6.29,3.29,20100623,219217.66,3.76,-1.78,7.71,28.64,-0.48,39236.0
600990,四创电子,通信设备,安徽,0.0,1.37,1.59,688809.63,435113.44,79760.15,91107.11,5.72,-0.363,14.65,2.97,20040510,110769.9,6.96,2.12,1.98,17.63,-19.31,15314.0
300603,立昂技术,通信设备,新疆,44.67,0.48,1.62,330165.19,144519.34,19028.65,149644.42,9.24,0.23,13.1,2.52,20170126,23780.92,1.47,203.33,637.46,32.74,11.19,10544.0
300736,百邦科技,通信设备,北京,0.0,0.48,0.82,44995.3,34571.75,561.41,21086.88,2.58,-0.059000000000000004,4.88,4.12,20180109,9219.25,1.13,-27.31,-146.6,17.25,-6.4,8633.0
002929,润建股份,通信设备,广西,36.24,0.77,2.21,411118.13,397596.06,6108.33,140630.59,6.37,0.218,12.14,2.6,20180301,90761.78,4.11,13.86,22.77,19.46,6.42,35452.0
603712,七一二,通信设备,天津,519.2,3.66,7.72,485993.0,417681.69,53942.43,93482.92,1.21,0.011000000000000001,2.93,7.53,20180226,49044.05,0.64,25.27,160.18,49.81,3.08,50428.0
002792,通宇通讯,通信设备,广东,0.0,1.71,3.38,295082.91,236711.0,41422.32,74436.0,2.2,-0.054000000000000006,5.7,3.71,20160328,84895.65,2.51,37.81,-81.83,25.96,-4.66,28058.0
002231,奥维通信,通信设备,辽宁,0.0,3.06,3.57,78715.53,71477.97,4142.7,16615.45,0.47,-0.006999999999999999,1.54,5.51,20080512,-484.57,-0.01,-10.05,-184.65,11.35,-5.75,35860.0
300167,迪威迅,通信设备,深圳,0.0,3.0,3.0,101689.36,59433.01,2198.4,31287.58,1.04,-0.015,1.81,2.67,20110125,-8340.71,-0.28,40.37,-119.1,28.9,-5.5,22000.0
000547,航天发展,通信设备,福建,36.33,11.14,16.06,998038.19,562719.63,60885.03,539615.88,3.36,0.064,4.52,2.07,19931130,143510.23,0.89,43.9,41.58,37.85,13.68,96752.0
300079,数码科技,通信设备,北京,39.56,12.09,14.34,457777.94,297238.19,43774.2,83924.22,0.59,0.037000000000000005,2.6,2.27,20100430,141835.38,0.99,15.05,2.02,41.16,17.3,107710.0
300322,硕贝德,通信设备,广东,77.29,3.67,4.07,200042.22,118126.57,60412.82,202.41,0.0,0.045,1.46,9.51,20120608,15304.75,0.38,7.44,17.48,23.14,4.7,29931.0
