,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
393,韵达股份,0.2681,0.2054,1.4274,0.568,57.3319
394,南京公用,0.2679,0.0822,3.8993,0.1178,12.4675
395,达安基因,0.2661,0.1071,4.5356,0.2682,28.4418
396,用友网络,0.2652,0.1342,2.5212,0.2699,27.7983
397,招商南油,0.2649,0.1129,2.4573,0.221,73.5995
398,盈趣科技,0.2647,0.1556,0.9059,0.7514,83.1021
399,京东方A,0.2645,0.0845,8.9185,0.1398,41.273999999999994
400,首创股份,0.2645,0.0478,4.0399,0.0729,19.1271
401,鲁银投资,0.2639,0.1269,8.3803,0.2033,21.1822
402,炬华科技,0.2637,0.0877,1.6909999999999998,0.495,50.8995
403,国检集团,0.2634,0.1573,1.1915,0.8128,124.88
404,顺鑫农业,0.263,0.16,4.3613,0.262,36.2667
405,东方铁塔,0.2626,0.0508,1.3023,0.1487,28.0592
406,汇中股份,0.2625,0.1037,0.9004,0.8383,96.3642
407,口子窖,0.2623,0.1266,0.7306,0.4186,43.0373
408,恒铭达,0.2621,0.2023,1.0412,1.3179,135.0131
409,爱朋医疗,0.2621,0.1136,1.0991,1.0478,108.6034
410,江南化工,0.2611,0.0626,2.7479,0.1297,46.3148
411,广东明珠,0.2607,0.0269,0.4292,0.1736,34.7498
412,鲁北化工,0.2603,0.0907,1.8205,0.3163,32.1781
413,分众传媒,0.26,0.1989,0.6531,0.8182,107.2456
414,清新环境,0.2598,0.099,1.8761,0.1796,21.1431
415,中恒集团,0.2587,0.1179,1.3913,0.6517,75.3113
416,丹化科技,0.2583,0.1091,42.6924,0.5831,62.0784
417,姚记扑克,0.258,0.0915,1.2614,0.3125,31.2543
418,宁波精达,0.2577,0.1117,2.1772,0.3326,34.7074
419,康辰药业,0.2574,0.0901,0.9969,0.5987,80.8165
420,兰花科创,0.2572,0.0941,2.3795,0.17300000000000001,22.4155
421,*ST华源,0.257,0.1003,,0.1082,17.1758
422,百川能源,0.2566,0.1371,1.2066,0.2841,40.5021
423,洪城水业,0.2563,0.1124,2.6842,0.1832,25.75
424,宝新能源,0.2563,0.0455,2.1257,0.0772,18.5266
