code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603703,盛洋科技,通信设备,浙江,492.15,1.09,2.3,126727.35,58932.98,35606.73,8562.71,0.37,0.006,1.9,6.2,20150423,9366.03,0.41,-0.19,126.99,24.63,0.8,15650.0
002829,星网宇达,通信设备,北京,211.93,0.61,1.61,161560.63,84674.43,23454.06,45191.75,2.81,0.025,5.33,4.03,20161213,32816.51,2.04,-0.32,8.55,49.51,5.1,13420.0
300136,信维通信,通信设备,深圳,23.12,8.1,9.76,750872.44,388084.44,84233.18,27450.35,0.28,0.247,4.01,5.7,20101105,263305.97,2.7,26.92,14.85,36.53,22.04,78965.0
002383,合众思壮,通信设备,北京,0.0,4.86,7.45,907996.63,524856.38,46349.92,247776.63,3.33,-0.038,5.16,2.4,20100402,65907.31,0.88,-66.18,-152.42,55.42,-9.48,42600.0
002869,金溢科技,通信设备,深圳,91.51,0.45,1.18,137369.13,104332.88,20091.34,63015.38,5.35,0.08,8.64,3.38,20170515,22535.1,1.91,-3.41,35.85,41.23,6.46,13935.0
300736,百邦科技,通信设备,北京,0.0,0.48,0.82,44995.3,34571.75,561.41,21086.88,2.58,-0.059000000000000004,4.88,3.76,20180109,9219.25,1.13,-27.31,-146.6,17.25,-6.4,8633.0
300735,光弘科技,通信设备,广东,24.07,1.45,4.61,229055.25,134282.13,74017.92,96979.15,2.1,0.17800000000000002,4.11,4.17,20171229,50266.87,1.09,63.55,280.49,29.96,18.63,31313.0
600677,航天通信,通信设备,浙江,18.34,4.16,5.22,1567877.13,1179119.25,170586.31,212387.3,4.07,0.23800000000000002,6.82,2.56,19930928,89480.46,1.71,-43.12,1055.0,16.08,7.86,91700.0
600990,四创电子,通信设备,安徽,0.0,1.37,1.59,688809.63,435113.44,79760.15,91107.11,5.72,-0.363,14.65,3.28,20040510,110769.9,6.96,2.12,1.98,17.63,-19.31,15314.0
300710,万隆光电,通信设备,浙江,75.6,0.34,0.69,77321.21,62349.9,3009.09,33016.78,4.81,0.09,8.5,3.2,20171019,16148.42,2.35,54.03,403.36,28.63,6.03,13100.0
002547,春兴精工,通信设备,江苏,1364.55,6.55,11.28,876996.88,519937.31,205635.84,143437.63,1.27,0.002,2.41,4.88,20110218,11513.3,0.1,37.55,-22.66,14.28,0.18,141641.0
002446,盛路通信,通信设备,广东,31.49,5.96,8.83,529649.5,295242.34,28255.26,195362.44,2.21,0.076,4.0,2.4,20100713,62811.28,0.71,8.65,11.93,31.57,16.65,68849.0
603712,七一二,通信设备,天津,519.43,3.66,7.72,485993.0,417681.69,53942.43,93482.92,1.21,0.011000000000000001,2.93,7.54,20180226,49044.05,0.64,25.27,160.18,49.81,3.08,50428.0
300397,天和防务,通信设备,陕西,57.82,1.54,2.4,145715.98,71872.85,36621.25,52333.48,2.18,0.09300000000000001,4.47,4.83,20140910,26751.15,1.11,358.46,272.25,49.74,13.59,19099.0
603118,共进股份,通信设备,深圳,21.97,7.76,7.76,808810.75,507750.44,167533.42,264008.28,3.4,0.11,5.92,1.63,20150225,105441.67,1.36,20.53,8634.76,14.48,4.19,48096.0
300353,东土科技,通信设备,北京,9.15,3.59,5.17,358248.59,176588.16,12471.88,131597.05,2.55,0.395,4.78,3.03,20120927,59540.78,1.15,-22.58,1534.21,39.28,153.31,57017.0
300167,迪威迅,通信设备,深圳,0.0,3.0,3.0,101689.36,59433.01,2198.4,31287.58,1.04,-0.015,1.81,3.1,20110125,-8340.71,-0.28,40.37,-119.1,28.9,-5.5,21000.0
002359,*ST北讯,通信设备,深圳,0.0,7.09,10.87,1843545.25,539740.06,256703.91,475903.34,4.38,-0.09,4.49,1.02,20100210,-99171.81,-0.91,-67.76,-193.97,7.36,-35.61,31522.0
002089,*ST新海,通信设备,江苏,0.0,9.36,13.75,501956.06,270041.03,67765.49,5457.81,0.04,-0.031,0.92,2.66,20061130,-23854.17,-0.17,-23.84,-333.13,25.64,-61.79,107492.0
603421,鼎信通讯,通信设备,山东,243.82,0.73,4.7,337736.41,191901.88,66420.7,114171.63,2.43,0.03,6.0,4.36,20161011,109022.97,2.32,-16.21,-58.44,39.48,5.52,24700.0
300028,金亚科技,通信设备,四川,0.0,3.44,3.44,21287.9,3737.84,10719.53,36319.64,1.06,-0.025,0.41,0.0,20091030,-56557.3,-1.64,-94.06,-113.72,-177.78,-1544.45,44900.0
