,name,mbrg,nprg,nav,targ,epsg,seg
1443,星帅尔,15.3271,10.5963,11.5516,10.3263,-33.5556,11.7591
1444,雷迪克,-7.4707,10.5882,11.292,58.2681,-1.0526,11.292
1445,三晖电气,13.3264,10.5783,7.5133,13.4653,-34.0909,7.5133
1446,兰太实业,15.0555,10.5419,13.1685,1.0765,27.1176,9.2932
1447,中国巨石,15.960999999999999,10.5323,16.1467,22.502,-7.9826,14.3757
1448,裕兴股份,25.0569,10.5191,2.9222,3.9012,10.3175,2.9222
1449,美康生物,73.6749,10.4795,24.7358,41.3907,14.5161,11.3203
1450,音飞储存,15.1103,10.4713,8.0937,8.1478,10.7554,8.1154
1451,圣邦股份,7.6928,10.4645,15.1303,12.8466,-24.7513,15.1303
1452,以岭药业,17.9672,10.4641,6.3538,8.4927,11.1111,6.3422
1453,凯众股份,21.9746,10.4372,9.4322,8.7611,9.009,9.5434
1454,必创科技,21.423000000000002,10.4032,11.4679,10.3514,-36.1111,11.4692
1455,江苏银行,,10.374,10.3495,8.7697,0.9709,10.3285
1456,力源信息,31.0587,10.3702,8.8487,5.5382,-0.0553,8.8487
1457,荣泰健康,19.6892,10.3058,8.3108,-0.9293,12.6582,8.9851
1458,中衡设计,28.3183,10.2637,4.1006,8.0591,12.7273,3.6718
1459,富祥股份,21.4249,10.2507,18.6179,22.7492,-46.0123,19.1427
1460,首开股份,8.3385,10.2506,14.9797,21.1871,45.9149,3.8061
1461,出版传媒,21.0845,10.2373,6.6057,-0.414,10.3448,6.2515
1462,和顺电气,39.0607,10.214,2.9559,32.021,50.0,2.8489
1463,紫金银行,,10.2049,23.4965,12.9958,8.5714,23.4965
1464,太阳电缆,24.6656,10.1734,1.3254,17.7678,9.4211,0.7016
1465,恒源煤电,-9.7281,10.1695,12.9402,1.4412,10.9727,13.2145
1466,骆驼股份,21.079,10.1212,7.6926,12.923,15.7895,8.0798
1467,富安娜,11.5543,10.1135,13.3177,13.9414,8.3333,13.3177
1468,兴蓉环境,11.4787,10.105,9.5119,11.5549,10.0,7.8523
1469,九强生物,11.5085,10.0728,11.253,4.8378,9.0909,11.253
1470,东睦股份,7.5876,10.0009,5.6885,4.0374,-29.1667,5.4549
1471,美凯龙,29.9309,9.9914,3.1045,14.2722,6.1947,3.1842
1472,掌阅科技,14.1669,9.9733,13.0821,17.7058,6.0606,12.7059
1473,太极股份,13.5201,9.9653,8.0061,8.4439,11.3704,8.6424
1474,泰嘉股份,17.6053,9.9534,9.174,16.5372,8.1081,9.174
1475,英飞拓,46.986000000000004,9.9281,25.1108,23.5673,1.7269999999999999,25.2916
1476,永兴特钢,18.9299,9.9128,1.2106,9.6431,10.2041,0.9237
1477,宏达电子,21.3493,9.8799,13.1557,13.6768,1.3273,13.353
1478,冰川网络,-1.7854,9.8522,3.7867,4.6918,2.0619,4.0961
1479,好莱客,14.4607,9.8383,12.212,14.4442,6.087000000000001,12.212
1480,龙建股份,4.3861,9.8325,81.7659,20.2994,-8.6705,61.6441
1481,恒邦股份,8.5927,9.8209,3.4752,15.387,12.5,3.5453
1482,上海医药,21.5803,9.8202,17.0316,34.4852,4.7659,14.6418
1483,杭齿前进,-1.4179,9.8029,2.2464,0.7771,36.9811,1.7515
1484,联发股份,4.1231,9.7128,4.8356,1.475,8.7152,4.8655
1485,绿盟科技,7.1651,9.7114,8.4582,1.8737,5.0,8.4792
1486,森特股份,37.2063,9.7039,10.3643,29.4644,-8.0,10.3196
1487,华致酒行,13.0598,9.6408,19.8193,35.1289,10.2564,19.8738
1488,苏农银行,,9.6356,12.3756,22.5789,10.0,12.4813
1489,佳讯飞鸿,3.7377,9.5873,-0.013000000000000001,3.7946,10.0,0.7114
1490,浙江东日,19.3732,9.5628,10.779000000000002,5.6926,10.0,11.3623
1491,立霸股份,4.859,9.5539,-1.3687,0.0398,-21.2644,-1.3687
1492,罗博特科,53.5656,9.5178,43.2803,23.5994,9.6552,43.3087
1493,巨轮智能,21.4085,9.5157,3.3468,1.2722,-14.4828,1.6899
1494,上海电气,27.1721,9.4365,4.1218,9.6195,8.1266,3.1567
1495,豪迈科技,24.3572,9.3925,11.3673,20.9231,9.3632,11.3868
1496,众源新材,7.5424,9.3207,7.681,-1.4696,-34.9398,7.681
1497,广东明珠,12.1086,9.3082,7.5762,4.1414,16.9014,7.2921
1498,强力新材,15.4899,9.2786,47.3041,46.7514,12.2105,47.1889
1499,川投能源,7.9981,9.2725,10.3584,10.3989,9.3581,10.4941
1500,广宇发展,25.019000000000002,9.2664,10.6173,4.6181,3.8760000000000003,10.6173
1501,晨化股份,11.857000000000001,9.2664,11.6325,9.633,6.3333,10.4626
1502,羚锐制药,11.0676,9.2643,-4.9712,-5.9742,12.2616,-4.2394
1503,ST岩石,528.6766,9.2508,7.0272,-49.0301,20.0,7.0033
1504,塞力斯,43.1203,9.2391,61.9496,64.5742,-62.8788,62.931000000000004
1505,苏垦农发,13.1638,9.2154,7.7081,5.6707,-25.4237,7.5652
1506,大华股份,25.5843,9.1639,21.8067,23.5176,6.0976,20.5641
1507,苏州高新,16.6443,9.1537,41.9715,40.5214,-14.5833,15.1712
1508,中简科技,25.7517,9.1487,23.5166,30.7424,6.4516,23.5166
1509,中科信息,18.4982,9.1397,7.867999999999999,6.0866,-47.7912,7.9657
1510,时代出版,-2.5711,9.1386,-1.6545,0.6235,9.7894,-1.6558
1511,永新股份,16.1348,9.1345,4.2719,5.647,-26.2295,4.2057
1512,浙江交科,27.0057,9.101,35.2419,17.9539,4.5977,31.5028
1513,四川金顶,129.2468,9.0855,138.4825,9.1192,9.7944,145.1657
1514,盘江股份,0.1397,9.0854,2.2703,7.3747,7.7358,2.0139
1515,倍加洁,12.9513,9.066,155.5818,86.3899,-14.5833,155.5818
1516,盐津铺子,46.8075,9.033999999999999,7.5982,19.9401,5.5556,7.6814
1517,华光股份,27.424,9.0326,7.6422,13.9141,3.7509,6.9649
1518,隧道股份,18.2063,8.9717,7.1303,14.7975,8.6207,7.2563
1519,福晶科技,8.2867,8.9585,13.5846,11.6443,10.1095,13.9349
1520,鹏辉能源,22.4072,8.9184,17.2494,37.2159,3.2609,10.5084
1521,国芳集团,0.8581,8.9122,1.0615,-1.0925,-9.0909,1.0615
1522,宜华健康,4.1503,8.8784,6.2169,8.5808,-27.3054,5.888
1523,东方通信,-1.3319,8.8142,1.732,0.8290000000000001,7.7777,1.7358
1524,北方导航,2.2212,8.807,3.8513,0.8292,0.0,1.4967
1525,冠农股份,35.7262,8.8048,2.9278,23.1319,11.2546,3.3132
1526,招商公路,26.5637,8.762,7.4158,29.022,5.6594,5.087
1527,珠江钢琴,10.2983,8.7398,2.9542,4.9628,-23.5294,3.0976
